E,N,W,name,flow,S,h,,
-117.213495,52.12819,117.213495,At01,30,5.673111454,1.754230228,,
-117.213416,52.1288,117.213416,At02,36,4.602524267,1.710100717,,
-117.213761,52.128178,117.213761,At03,31,1.58,0.48,,
-117.213625,52.128088,117.213625,At04,33,1.6,0.5,,
-117.213457,52.127971,117.213457,At05a,42,0.68,0.27,,
-117.213457,52.127971,117.213457,At05b,45,0.93,0.3,,
-117.213457,52.127971,117.213457,At05c,30,0.92,0.29,,
-117.213446,52.127986,117.213446,At06a,42,1.22,0.42,,
-117.213446,52.127986,117.213446,At06b,37,1.1,0.29,,
-117.213228,52.128035,117.213228,At09a,38,1.46,0.29,,
-117.213228,52.128035,117.213228,At09b,36,1.71,0.41,,
-117.213405,52.128077,117.213405,At10,30,4.07960896,1.504888631,,
-117.213125,52.12796,117.213125,At11,40,1.5,0.46,,
-117.21303,52.127903,117.21303,At12,41,0.9,0.27,,
-117.213009,52.127844,117.213009,At13,45,0.63,0.22,,
-117.212814,52.127787,117.212814,At14,54,0.57,0.2,,
-117.212905,52.128,117.212905,At15,44,0.85,1.86,,
-117.213577,52.128124,117.213577,At16,35,5.591171094,1.640042267,,
-117.212992,52.127876,117.212992,At17,45,0.83,0.28,,  
-117.212992,52.127876,117.212992,At18,46,1.45,0.5,,
-117.213712,52.12759,117.213712,At19,47,1.28,0.25,,
-117.213902,52.127717,117.213902,At20,37,1.96,0.78,,
-117.213698,52.128117,117.213698,At21,37,1.5,0.56,,
-117.213737,52.128187,117.213737,At22,30,1.58,0.58,,
-117.213499,52.128277,117.213499,At23,43,1.77,0.33,,
-117.212581,52.12827,117.212581,At24,41,3.396193111,2.645033635,,
-117.212581,52.12827,117.212581,At25b,36,3.924489817,2.982597469,,
-117.212471,52.128296,117.212471,At26,40,0.7,0.29,,
-117.212363,52.128265,117.212363,At27a,46,1.08,0.54,,
-117.212377,52.128287,117.212377,At28,50,0.29,0.12,,
-117.212312,52.128226,117.212312,At29,37,0.52,0.17,,
-117.212238,52.128179,117.212238,At31,37,0.71,0.3,,
-117.21219,52.128142,117.21219,At32,48,0.74,0.25,,
-117.212207,52.128155,117.212207,At33a,34,6.300685551,3.8,,
-117.212098,52.128171,117.212098,At34,44,0.46,0.32,,
-117.212098,52.128171,117.212098,At35,40,0.67,0.37,,
-117.212149,52.128101,117.212149,At36,48,0.67,0.24,,
-117.212126,52.128091,117.212126,At37,50,0.7,0.35,,
-117.21213,52.128153,117.21213,At38,41,0.56,0.35,,
-117.211995,52.128154,117.211995,At39a,40,0.74,0.43,,
-117.211995,52.128154,117.211995,At39b,40,0.34,0.22,,
-117.211995,52.128154,117.211995,At39c,40,0.36,0.26,,
-117.211959,52.128156,117.211959,At40a,47,0.73,0.45,,
-117.211959,52.128156,117.211959,At40b,47,0.53,0.46,,
-117.211872,52.128136,117.211872,At41,47,0.22,0.07,,
-117.211877,52.128121,117.211877,At42a,43,0.43,0.29,,
-117.211877,52.128121,117.211877,At42b,43,0.88,0.48,,
-117.211831,52.128079,117.211831,At43a,42,0.52,0.35,,
-117.211831,52.128079,117.211831,At43b,42,0.33,0.27,,
-117.21179,52.12806,117.21179,At44,46,1.12,0.34,,
-117.2118,52.128062,117.2118,At45,44,1.16,0.49,,
-117.211717,52.128031,117.211717,At46,48,0.72,0.45,,
-117.211589,52.128022,117.211589,At47,44,0.44,0.1,,
-117.211538,52.127966,117.211538,At48,58,0.12,0.07,,
-117.21144,52.127947,117.21144,At49,46,3.931929813,2.684125937,,
-117.211626,52.128039,117.211626,At50,44,0.57,0.41,,
-117.211656,52.128074,117.211656,At51,40,0.44,0.15,,
-117.211664,52.128084,117.211664,At52,46,0.3,0.08,,
-117.211672,52.128075,117.211672,At53,50,0.75,0.36,,
-117.211666,52.128172,117.211666,At54,42,0.97,0.43,,
